table_name,dataset_name,evaluation_region,mask_type,category,lama_applicability,metric,row_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,negative_improvement_count,zero_improvement_count,positive_improvement_share
dataset_mask_type_by_region,canonical,boundary_region,loss_large,,,psnr_improvement,50,23.359457188774336,23.76087855341232,4.5584223771702,13.231119238670349,36.06479667554843,50,0,0,1.0
dataset_mask_type_by_region,canonical,outside_mask_region,loss_large,,,psnr_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,canonical,mask_bbox_crop,loss_large,,,psnr_improvement,50,15.177026203448278,14.773468797934285,4.031655334895787,7.163612181409638,28.172225931285258,50,0,0,1.0
dataset_mask_type_by_region,canonical,full_image,loss_small,,,psnr_improvement,50,19.471598474442906,19.22612058972922,4.918643641120209,9.806537528073093,35.43934887211043,50,0,0,1.0
dataset_mask_type_by_region,canonical,content_region,loss_small,,,psnr_improvement,50,19.471598517368605,19.226120044440435,4.918643563888409,9.806538007342997,35.43934893476052,50,0,0,1.0
dataset_mask_type_by_region,canonical,masked_region,loss_small,,,psnr_improvement,50,19.471598566938795,19.226120100637864,4.918643458996943,9.806537917332495,35.43934820361272,50,0,0,1.0
dataset_mask_type_by_region,canonical,boundary_region,loss_small,,,psnr_improvement,50,23.25610056393716,23.126514509486753,4.7748766606587365,13.515259478981216,38.93838949557321,50,0,0,1.0
dataset_mask_type_by_region,canonical,outside_mask_region,loss_small,,,psnr_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,canonical,mask_bbox_crop,loss_small,,,psnr_improvement,50,19.47159883488431,19.226119745655275,4.918643405385224,9.806538069963558,35.43934786365048,50,0,0,1.0
dataset_mask_type_by_region,canonical,full_image,mixed_damage,,,psnr_improvement,50,18.18564659547899,18.489789402405293,4.254534934428803,9.396786502278342,28.23968518028055,50,0,0,1.0
dataset_mask_type_by_region,canonical,content_region,mixed_damage,,,psnr_improvement,50,18.185646220821155,18.489789862298466,4.2545351209442295,9.39678819168749,28.239686774654167,50,0,0,1.0
dataset_mask_type_by_region,canonical,masked_region,mixed_damage,,,psnr_improvement,50,18.1856465966115,18.489789755581697,4.25453500132336,9.396786772176435,28.23968692659004,50,0,0,1.0
dataset_mask_type_by_region,canonical,boundary_region,mixed_damage,,,psnr_improvement,50,21.818472024568724,21.82650646455629,3.839180975214458,11.792634305228782,33.51065825267788,50,0,0,1.0
dataset_mask_type_by_region,canonical,outside_mask_region,mixed_damage,,,psnr_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,canonical,mask_bbox_crop,mixed_damage,,,psnr_improvement,50,18.185646813650322,18.489790197104107,4.2545349979536855,9.396786944608458,28.23968667613702,50,0,0,1.0
