case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_clip_improvement,winner_dinov2_improvement
p019_scratch_thin,p019,p019_scratch_thin,scratch_thin,landscape_natural,Evening: Landscape with an Aqueduct,0.117043912410736,0.0799077749252319,0.1177018880844116,0.0606942772865295,0.079303503036499,0.0092765092849731,lama,opencv_telea
p020_loss_large,p020,p020_loss_large,loss_large,landscape_natural,Mediterranean landscape (recto); Mountains (verso),-0.0031177401542663,-0.36402228474617,0.1859938502311706,0.1591154336929321,0.0788500905036926,-0.1451420783996582,lama,lama
p020_loss_small,p020,p020_loss_small,loss_small,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.0601589679718017,0.0457352995872497,0.0673903226852417,0.0458237528800964,0.0407267808914184,-0.0383217334747314,lama,lama
p020_mixed_damage,p020,p020_mixed_damage,mixed_damage,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.1609517335891723,0.3112112879753113,0.1696262955665588,0.3815762996673584,0.1166434288024902,0.2315725088119506,lama,lama
p020_scratch_thin,p020,p020_scratch_thin,scratch_thin,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.1198694705963134,0.2209834456443786,0.1211053133010864,0.2217135429382324,0.0602014660835266,0.0225753188133239,lama,lama
p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,0.0294945836067199,-0.022567331790924,0.2207122445106506,0.0850298404693603,0.1872813105583191,0.1043593287467956,lama,stable_diffusion_inpainting
p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,0.0487406253814697,0.0194228291511535,0.0541525483131408,0.0236083269119262,0.035118818283081,-0.0138382911682128,lama,lama
p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,Interior of the Oude Kerk in Delft,0.2238418459892273,0.1108227372169494,0.2280734777450561,0.1283338665962219,0.1840514540672302,0.0479581952095031,lama,lama
p021_scratch_thin,p021,p021_scratch_thin,scratch_thin,architecture_structured,Interior of the Oude Kerk in Delft,0.040755808353424,0.0391507148742675,0.0408387184143066,0.0393508672714233,0.0191894173622131,-0.0153008103370666,lama,lama
p022_loss_large,p022,p022_loss_large,loss_large,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.0820847153663635,-0.0922958254814148,0.2481617927551269,0.0826030969619751,0.0926300883293151,-0.0938760042190551,lama,lama
p022_loss_small,p022,p022_loss_small,loss_small,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.2172886133193969,0.0417302250862121,0.2209458351135254,0.0578401684761047,0.1179263591766357,0.0371463298797607,lama,lama
p022_mixed_damage,p022,p022_mixed_damage,mixed_damage,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.1255717873573303,0.075369656085968,0.1322035193443298,0.0794905424118042,0.080369234085083,-0.0185404419898986,lama,lama
p022_scratch_thin,p022,p022_scratch_thin,scratch_thin,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.1893625259399414,0.075363278388977,0.1905986070632934,0.0762032866477966,0.0450552105903625,-0.0134602189064025,lama,lama
p023_loss_large,p023,p023_loss_large,loss_large,architecture_structured,Church Interior,0.0009820461273193,-0.0672918558120727,0.1080353260040283,0.0237714648246765,0.0537840127944946,-0.0405088663101196,lama,lama
p023_loss_small,p023,p023_loss_small,loss_small,architecture_structured,Church Interior,0.1748407483100891,0.00705087184906,0.1831956505775451,0.0167204141616821,0.1667094826698303,0.0005125403404235,lama,lama
p023_mixed_damage,p023,p023_mixed_damage,mixed_damage,architecture_structured,Church Interior,0.1261240243911743,0.0514917373657226,0.1388039588928222,0.0760816931724548,0.0762113332748413,-0.0050534009933471,lama,lama
p023_scratch_thin,p023,p023_scratch_thin,scratch_thin,architecture_structured,Church Interior,0.1201449632644653,0.0358679294586181,0.120109736919403,0.0355228185653686,0.0779399871826171,-0.0141299366950988,opencv_telea,opencv_telea
p024_loss_large,p024,p024_loss_large,loss_large,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.1021432280540466,-0.115026831626892,0.1850593090057373,0.1021957993507385,0.1614338159561157,0.0717297196388244,lama,lama
p024_loss_small,p024,p024_loss_small,loss_small,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.1484833359718322,0.0051755905151367,0.1549581885337829,0.0170905590057373,0.1199300289154052,-0.0102882385253906,lama,lama
p024_mixed_damage,p024,p024_mixed_damage,mixed_damage,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.0907733440399169,0.0920419692993164,0.1275664567947387,0.1078026890754699,0.1034452319145202,0.0607181191444397,lama,lama
p024_scratch_thin,p024,p024_scratch_thin,scratch_thin,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.0889835357666015,0.0567128658294677,0.0875849723815918,0.0499400496482849,0.0588552355766296,0.0211443901062011,opencv_telea,opencv_telea
