case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_lpips_improvement,lama_lpips_improvement,stable_diffusion_inpainting_lpips_improvement,winner_lpips_improvement
p035_loss_small,p035,p035_loss_small,loss_small,abstraction_surrealism,The Bewitched Mill,0.0577945848926901,0.0637527629733085,0.0301700606942176,lama
p035_mixed_damage,p035,p035_mixed_damage,mixed_damage,abstraction_surrealism,The Bewitched Mill,0.1420794799923896,0.1594704464077949,0.1012302860617637,lama
p035_scratch_thin,p035,p035_scratch_thin,scratch_thin,abstraction_surrealism,The Bewitched Mill,0.0718429964035749,0.0722657679580152,0.0264718681573867,lama
p036_loss_large,p036,p036_loss_large,loss_large,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",0.0482055246829986,0.1802228391170501,0.1370712518692016,lama
p036_loss_small,p036,p036_loss_small,loss_small,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",0.0414243247359991,0.0598928258405067,0.0583429662510752,lama
p036_mixed_damage,p036,p036_mixed_damage,mixed_damage,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",0.1273695416748523,0.1428090315312147,0.0272449254989624,lama
p036_scratch_thin,p036,p036_scratch_thin,scratch_thin,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",0.1047077201073989,0.1046241195872426,-0.1396718621253967,opencv_telea
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,0.2409384548664093,0.2988933175802231,0.3427233397960663,stable_diffusion_inpainting
p037_loss_small,p037,p037_loss_small,loss_small,abstraction_surrealism,In the Sea,0.1418425776064396,0.1544169019907713,0.0904728472232818,lama
p037_mixed_damage,p037,p037_mixed_damage,mixed_damage,abstraction_surrealism,In the Sea,0.2435365170240402,0.265905724838376,0.1514014154672622,lama
p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,In the Sea,0.268456075922586,0.2682767242658883,0.1940653175115585,opencv_telea
p038_loss_large,p038,p038_loss_large,loss_large,abstraction_surrealism,Mahana no atua (Day of the God),0.1455617845058441,0.2126609236001968,0.1849960684776306,lama
p038_loss_small,p038,p038_loss_small,loss_small,abstraction_surrealism,Mahana no atua (Day of the God),0.102167310193181,0.1153851770795881,0.0250037834048271,lama
p038_mixed_damage,p038,p038_mixed_damage,mixed_damage,abstraction_surrealism,Mahana no atua (Day of the God),0.2170575596392154,0.2351695597171783,0.2189466059207916,lama
p038_scratch_thin,p038,p038_scratch_thin,scratch_thin,abstraction_surrealism,Mahana no atua (Day of the God),0.1443664673715829,0.1457062513800338,0.0972651243209838,lama
p039_loss_large,p039,p039_loss_large,loss_large,abstraction_surrealism,Painting with Troika,0.1885338723659515,0.2530020475387573,0.0953324437141418,lama
p039_loss_small,p039,p039_loss_small,loss_small,abstraction_surrealism,Painting with Troika,0.1146739143878221,0.1288998182862997,0.084886472672224,lama
p039_mixed_damage,p039,p039_mixed_damage,mixed_damage,abstraction_surrealism,Painting with Troika,0.2050637304782867,0.230520911514759,0.1798953711986541,lama
p039_scratch_thin,p039,p039_scratch_thin,scratch_thin,abstraction_surrealism,Painting with Troika,0.1884001474827528,0.1888657601666636,0.1305820234119892,lama
p040_loss_large,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,0.1465998589992523,0.1822912395000457,0.1547966599464416,lama
p040_loss_small,p040,p040_loss_small,loss_small,abstraction_surrealism,Houses at Murnau,0.1007726583629846,0.1077912561595439,0.0574870556592941,lama
p040_mixed_damage,p040,p040_mixed_damage,mixed_damage,abstraction_surrealism,Houses at Murnau,0.1988374963402748,0.2103595100343227,0.167436808347702,lama
p040_scratch_thin,p040,p040_scratch_thin,scratch_thin,abstraction_surrealism,Houses at Murnau,0.2210181622067466,0.2206530689727515,0.124578095972538,opencv_telea
p041_loss_large,p041,p041_loss_large,loss_large,high_texture_brushwork,Wheat Field with Cypresses,0.1055958569049835,0.2862197160720825,0.2488380968570709,lama
p041_loss_small,p041,p041_loss_small,loss_small,high_texture_brushwork,Wheat Field with Cypresses,0.165394801646471,0.1913084350526332,0.0792187005281448,lama
p041_mixed_damage,p041,p041_mixed_damage,mixed_damage,high_texture_brushwork,Wheat Field with Cypresses,0.2195238322019577,0.2608042620122432,0.1832953095436096,lama
p041_scratch_thin,p041,p041_scratch_thin,scratch_thin,high_texture_brushwork,Wheat Field with Cypresses,0.2565962891094386,0.2572777841705829,0.1707083731889724,lama
p042_loss_large,p042,p042_loss_large,loss_large,high_texture_brushwork,View of Beirut,0.3198709040880203,0.4272206146270036,0.0675404965877533,lama
p042_loss_small,p042,p042_loss_small,loss_small,high_texture_brushwork,View of Beirut,0.1597380191087722,0.1776301991194486,0.1344294920563697,lama
p042_mixed_damage,p042,p042_mixed_damage,mixed_damage,high_texture_brushwork,View of Beirut,0.2785058692097664,0.3197355959564447,0.1642384678125381,lama
p042_scratch_thin,p042,p042_scratch_thin,scratch_thin,high_texture_brushwork,View of Beirut,0.1867195479571819,0.1916551780886948,0.0913298949599266,lama
p043_loss_large,p043,p043_loss_large,loss_large,high_texture_brushwork,The Card Players,0.1307225227355957,0.2257763743400573,0.2766716778278351,stable_diffusion_inpainting
p043_loss_small,p043,p043_loss_small,loss_small,high_texture_brushwork,The Card Players,0.171277217566967,0.1822613263502717,0.0931905061006546,lama
p043_mixed_damage,p043,p043_mixed_damage,mixed_damage,high_texture_brushwork,The Card Players,0.2325768694281578,0.2615545187145471,0.2110626772046089,lama
