original_case_id,case_id,painting_id,category,mask_type,title,final_visual_source,final_visual_reason,final_figure_path,overall_metric_vote,masked_std_mean,refined_overall_metric_vote,combined_uncertainty_index,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,uncertainty_performance_quadrant,final_figure_exists
p009_loss_large,p009_loss_large,p009,portrait_figure,loss_large,Madame Roulin and Her Baby,refined_model_comparison,refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p009_loss_large_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p001_loss_small,p001_loss_small,p001,portrait_figure,loss_small,Juan de Pareja,refined_model_comparison,refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p001_loss_small_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p004_loss_small,p004_loss_small,p004,portrait_figure,loss_small,Madame Georges Charpentier and Her Children,refined_model_comparison,refined_metric_disagreement,,lama,,,,,,,,False
p001_scratch_thin,p001_scratch_thin,p001,portrait_figure,scratch_thin,Juan de Pareja,refined_model_comparison,refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p001_scratch_thin_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p002_scratch_thin,p002_scratch_thin,p002,portrait_figure,scratch_thin,Madame X (Madame Pierre Gautreau),refined_model_comparison,refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p002_scratch_thin_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p031_loss_large,p031_loss_large,p031,abstraction_surrealism,loss_large,Improvisation No. 30 (Cannons),stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p031_loss_large.png,,0.1087352633476257,,,,,,,True
p037_loss_small,p037_loss_small,p037,abstraction_surrealism,loss_small,In the Sea,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_small.png,,0.0875755921006202,,,,,,,True
p037_mixed_damage,p037_mixed_damage,p037,abstraction_surrealism,mixed_damage,In the Sea,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_mixed_damage.png,,0.0873596742749214,,,,,,,True
p037_scratch_thin,p037_scratch_thin,p037,abstraction_surrealism,scratch_thin,In the Sea,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_scratch_thin.png,,0.0502385534346103,,,,,,,True
p026_loss_large,p026_loss_large,p026,architecture_structured,loss_large,View of a Village along a River,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_loss_large.png,,0.0834576189517974,,,,,,,True
p026_loss_small,p026_loss_small,p026,architecture_structured,loss_small,View of a Village along a River,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_loss_small.png,,0.0496411360800266,,,,,,,True
p026_mixed_damage,p026_mixed_damage,p026,architecture_structured,mixed_damage,View of a Village along a River,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_mixed_damage.png,,0.0595920123159885,,,,,,,True
p026_scratch_thin,p026_scratch_thin,p026,architecture_structured,scratch_thin,View of a Village along a River,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_scratch_thin.png,,0.0438420698046684,,,,,,,True
p043_loss_large,p043_loss_large,p043,high_texture_brushwork,loss_large,The Card Players,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_loss_large.png,,0.0848045349121093,,,,,,,True
