case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement
p012_loss_small,p012,landscape_natural,An Extensive Wooded Landscape,loss_small,16766.48959350586,179.38150024414062,114.41926670074464,19.75286246546309,0.1759806424379348,0.0156111167743802,0.1603695256635546,0.8472414612770081,0.9983236193656921,0.15108215808868408,0.8664194345474243,0.9886000752449036,0.12218064069747925
p012_mixed_damage,p012,landscape_natural,An Extensive Wooded Landscape,mixed_damage,15732.673583984377,812.929931640625,105.4151725769043,13.086294987273453,0.2921419739723205,0.0490788035094738,0.2430631704628467,0.8364139795303345,0.9527325630187988,0.11631858348846436,0.7056461572647095,0.9560668468475342,0.2504206895828247
p012_scratch_thin,p012,landscape_natural,An Extensive Wooded Landscape,scratch_thin,23988.14758300781,1689.7664794921875,132.18971061706543,11.8173305044564,0.2969414293766022,0.0197278056293725,0.2772136237472296,0.8494353294372559,0.9975161552429199,0.14808082580566406,0.7762019038200378,0.9979480504989624,0.22174614667892456
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,loss_large,44703.27282714844,1388.6451416015625,187.16033172607425,15.210335012392433,0.623293399810791,0.4037644267082214,0.2195289731025695,0.7517073750495911,0.7966311573982239,0.04492378234863281,0.6172600984573364,0.4031360149383545,-0.21412408351898193
p013_loss_small,p013,landscape_natural,Landscape with a Village in the Distance,loss_small,29369.31149291992,347.9971008300781,153.15474033355713,19.31433848292552,0.2383146733045578,0.0237976219505071,0.2145170513540506,0.8359829187393188,0.9980990290641785,0.16211611032485962,0.8433330059051514,0.9625312685966492,0.1191982626914978
p013_mixed_damage,p013,landscape_natural,Landscape with a Village in the Distance,mixed_damage,39120.92840576172,570.5208129882812,177.86259174346924,18.42425463804569,0.396556556224823,0.0707688480615615,0.3257877081632614,0.7245901823043823,0.9581748247146606,0.23358464241027832,0.6110111474990845,0.8744724988937378,0.2634613513946533
p013_scratch_thin,p013,landscape_natural,Landscape with a Village in the Distance,scratch_thin,40196.86880493164,368.0374450683594,183.37977600097656,20.422584694625296,0.3823611438274383,0.0078210551291704,0.3745400886982679,0.8904662132263184,0.99927818775177,0.10881197452545166,0.7100269794464111,0.9949342012405396,0.2849072217941284
p014_loss_large,p014,landscape_natural,Landscape on a River,loss_large,26803.85009765625,1275.59912109375,139.3166847229004,13.426743734750737,0.5740740299224854,0.3507800996303558,0.2232939302921295,0.7785896062850952,0.7671440839767456,-0.01144552230834961,0.5308947563171387,0.22687754034996033,-0.30401721596717834
p014_loss_small,p014,landscape_natural,Landscape on a River,loss_small,23962.766662597656,136.75286865234375,143.4800510406494,22.46071938936428,0.2961568534374237,0.0218673832714557,0.2742894701659679,0.8788615465164185,0.9964719414710999,0.1176103949546814,0.656363308429718,0.9687113165855408,0.31234800815582275
p014_mixed_damage,p014,landscape_natural,Landscape on a River,mixed_damage,24221.775665283203,491.1813659667969,137.96792030334473,17.016828315192193,0.4394245743751526,0.0670823156833648,0.3723422586917877,0.8052594661712646,0.9654538035392761,0.16019433736801147,0.3331441879272461,0.8014734983444214,0.4683293104171753
