dataset_name,case_id,painting_id,mask_id,mask_type,category,model_name,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,improvement_std_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
canonical,p026_loss_large,p026,,,architecture_structured,opencv_telea,589824,52670,11.129634857177734,1.4128270149230957,9.716806411743164,216.6666717529297,105.33333587646484,0.0,188.6666717529297,124.63499450683594,15.821517944335938,108.8134765625,32.68730545043945,0,52670,0,0.0,100.0
canonical,p026_loss_small,p026,,,architecture_structured,opencv_telea,589824,15084,4.258540153503418,0.26968497037887573,3.988856077194214,226.3333282470703,66.0,0.0,211.0,166.5201416015625,10.545389175415039,155.97474670410156,36.640506744384766,0,15084,0,0.0,100.0
canonical,p026_mixed_damage,p026,,,architecture_structured,opencv_telea,589824,37951,9.868700981140137,0.8980334401130676,8.970664978027344,231.6666717529297,95.33333587646484,-4.0,224.0,153.3765869140625,13.956987380981445,139.41961669921875,35.3098258972168,1,37950,0,0.002634976680456378,99.99736502331955
canonical,p026_scratch_thin,p026,,,architecture_structured,opencv_telea,589824,9911,2.763286828994751,0.12750186026096344,2.635784864425659,231.6666717529297,76.0,0.0,225.6666717529297,164.44891357421875,7.5878987312316895,156.8610076904297,39.28425979614258,0,9911,0,0.0,100.0
canonical,p026_zero_control,p026,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p027_loss_large,p027,,,architecture_structured,opencv_telea,589824,51962,14.856450080871582,1.9025251865386963,12.953926086425781,229.3333282470703,116.0,-23.666671752929688,222.0,168.63653564453125,21.595685958862305,147.04086303710938,55.553279876708984,59,51901,2,0.11354451329817944,99.88260652014934
canonical,p027_loss_small,p027,,,architecture_structured,opencv_telea,589824,24809,6.129953861236572,0.5773622393608093,5.552592754364014,232.3333282470703,125.33333587646484,-39.333335876464844,228.0,145.7372283935547,13.726551055908203,132.0106658935547,45.39176940917969,23,24786,0,0.09270829134588254,99.90729170865411
canonical,p027_mixed_damage,p027,,,architecture_structured,opencv_telea,589824,40932,11.23490047454834,0.8750275373458862,10.359874725341797,237.6666717529297,83.66666412353516,-2.6666641235351562,231.6666717529297,161.8932342529297,12.609017372131348,149.28421020507812,48.73829650878906,1,40931,0,0.00244307632170429,99.99755692367829
canonical,p027_scratch_thin,p027,,,architecture_structured,opencv_telea,589824,10362,2.9084272384643555,0.1286349892616272,2.7797927856445312,239.3333282470703,79.66666412353516,0.0,234.3333282470703,165.5530242919922,7.322138786315918,158.23086547851562,45.933753967285156,0,10361,1,0.0,99.99034935340667
canonical,p027_zero_control,p027,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p028_loss_large,p028,,,architecture_structured,opencv_telea,589824,47473,6.903650283813477,1.0490795373916626,5.854571342468262,214.0,135.0,0.0,141.66665649414062,85.77378845214844,13.034195899963379,72.73959350585938,14.612258911132812,0,47473,0,0.0,100.0
