case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement
p026_loss_large,p026,architecture_structured,View of a Village along a River,loss_large,16703.765197753906,986.7875366210938,104.05174446105956,12.53517746880314,0.5515366792678833,0.3606991767883301,0.19083750247955322
p026_loss_small,p026,architecture_structured,View of a Village along a River,loss_small,20584.240211486816,112.2207260131836,131.7823624610901,22.65823014078176,0.23622290790081024,0.020491236820816994,0.21573167107999325
p026_mixed_damage,p026,architecture_structured,View of a Village along a River,mixed_damage,28681.17712402344,1157.6510009765625,147.11990547180176,14.112041112502697,0.45245397090911865,0.07990194857120514,0.3725520223379135
p026_scratch_thin,p026,architecture_structured,View of a Village along a River,scratch_thin,20937.564254760742,163.0841827392578,129.63291120529175,21.118839600811157,0.2837904095649719,0.0014231037348508835,0.28236730583012104
p027_loss_large,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,loss_large,25954.5107421875,1165.7900390625,132.2746753692627,13.66674161593599,0.4849361181259155,0.2881203889846802,0.19681572914123535
p027_loss_small,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,loss_small,30904.115661621094,438.3687133789063,156.53071403503418,18.542938672874417,0.2883341908454895,0.04629392549395561,0.2420402653515339
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,mixed_damage,23249.70098876953,688.9240112304688,129.80554580688477,15.40927879956234,0.4683019816875458,0.06944957375526428,0.3988524079322815
p027_scratch_thin,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,scratch_thin,30840.91372680664,274.4358825683594,161.47041130065918,20.54533790170896,0.39669567346572876,0.001926748314872384,0.3947689251508564
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),loss_large,17621.27978515625,812.49169921875,109.15253257751463,13.557952666977847,0.5547989010810852,0.34008339047431946,0.21471551060676575
p028_loss_small,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),loss_small,13073.837211608889,113.24384307861328,98.53812265396118,20.6613407629998,0.2246599644422531,0.013145415112376213,0.2115145493298769
p028_mixed_damage,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),mixed_damage,24426.45767211914,281.0833435058594,139.57140064239502,19.43994414126964,0.3220379948616028,0.045041732490062714,0.27699626237154007
p028_scratch_thin,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),scratch_thin,24679.307334899902,113.20829010009766,143.79005527496338,23.404423647580412,0.324027419090271,0.0011095271911472082,0.3229178918991238
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",loss_large,24718.7080078125,747.1826171875,135.5148468017578,15.325321097622265,0.46757206320762634,0.3399909734725952,0.12758108973503113
p029_loss_small,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",loss_small,23614.281494140625,670.308349609375,135.47404098510742,15.59056143663946,0.18953177332878113,0.040559034794569016,0.1489727385342121
p029_mixed_damage,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",mixed_damage,21619.71655273437,522.242431640625,128.5348072052002,16.273438870637566,0.287725567817688,0.05823652446269989,0.2294890433549881
p029_scratch_thin,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",scratch_thin,20453.45401000977,168.12802124023438,131.11191177368164,20.886818784718603,0.2481532245874405,0.0021404060535132885,0.2460128185339272
p030_loss_large,p030,architecture_structured,Interior with Five Women,loss_large,29748.995727539062,1138.7620849609375,149.9029312133789,14.333533844763927,0.5234336853027344,0.34600773453712463,0.17742595076560974
p030_loss_small,p030,architecture_structured,Interior with Five Women,loss_small,30988.70556640625,672.68505859375,158.54359436035156,16.727182045189966,0.15636682510375977,0.03292619436979294,0.12344063073396683
p030_mixed_damage,p030,architecture_structured,Interior with Five Women,mixed_damage,31162.962799072266,374.4551696777344,162.90077686309814,19.254263031186024,0.3440941274166107,0.036023836582899094,0.3080702908337116
p030_scratch_thin,p030,architecture_structured,Interior with Five Women,scratch_thin,35483.98045349121,67.81642150878906,180.83198928833008,27.19526686440445,0.3460116386413574,0.0009456563857384026,0.345065982255619
p031_loss_large,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),loss_large,16148.701782226562,1563.6517333984375,97.7613754272461,10.541362409507425,0.3698729872703552,0.2569723427295685,0.11290064454078674
p031_loss_small,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),loss_small,17825.910400390625,1039.013427734375,109.57591247558594,12.590338957506304,0.09255994856357574,0.020082129165530205,0.07247781939804554
p031_mixed_damage,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),mixed_damage,17329.050659179688,678.1134033203125,112.11075401306152,14.241429928724475,0.21458089351654053,0.04029957950115204,0.1742813140153885
p031_scratch_thin,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),scratch_thin,19978.205123901367,126.1112823486328,128.58034658432007,22.025353688747288,0.20210398733615875,0.0008884386043064296,0.20121554873185232
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,loss_large,2986.65625,4368.19775390625,28.36188507080078,2.262717650621818,0.2490488886833191,0.17712607979774475,0.07192280888557434
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,loss_small,5503.778564453125,2846.248779296875,45.98590469360352,4.674150403032543,0.13163530826568604,0.041477128863334656,0.09015817940235138
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,mixed_damage,2284.706817626953,478.9772644042969,33.28829097747803,7.611734978780376,0.21358250081539154,0.03163587301969528,0.18194662779569626
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,scratch_thin,5656.185775756836,232.8601226806641,50.925469398498535,14.029498172374575,0.17260819673538208,0.006811508908867836,0.16579668782651424
p033_loss_large,p033,abstraction_surrealism,Movement,loss_large,20807.654296875,5379.146484375,92.78741836547852,6.873690731791466,0.3748617172241211,0.290643572807312,0.08421814441680908
p033_loss_small,p033,abstraction_surrealism,Movement,loss_small,20029.057373046875,3469.657470703125,97.2926139831543,8.307575083767471,0.11269798874855042,0.03314629942178726,0.07955168932676315
p033_mixed_damage,p033,abstraction_surrealism,Movement,mixed_damage,25064.468017578125,2416.809326171875,121.32253837585448,10.557945269272984,0.1783459186553955,0.037921495735645294,0.1404244229197502
p033_scratch_thin,p033,abstraction_surrealism,Movement,scratch_thin,27751.331665039062,197.5687255859375,145.16204643249512,21.506465274175326,0.12299755215644836,0.0006018387502990663,0.1223957134061493
p034_loss_large,p034,abstraction_surrealism,Painting with Green Center,loss_large,23762.18603515625,3063.43701171875,118.22342681884766,9.423408625012254,0.35978561639785767,0.21793526411056519,0.14185035228729248
p034_loss_small,p034,abstraction_surrealism,Painting with Green Center,loss_small,21242.189086914062,1295.0042724609375,118.54237747192384,12.406286295299465,0.09496395289897919,0.01801418513059616,0.07694976776838303
p034_mixed_damage,p034,abstraction_surrealism,Painting with Green Center,mixed_damage,23394.23413085937,1374.795166015625,122.81547355651855,12.55670990409408,0.17526641488075256,0.0325927697122097,0.14267364516854286
p034_scratch_thin,p034,abstraction_surrealism,Painting with Green Center,scratch_thin,23587.29971313477,147.68661499023438,136.49501848220825,22.06047849410014,0.1745859533548355,0.0014358945190906525,0.17315005883574486
p035_loss_large,p035,abstraction_surrealism,The Bewitched Mill,loss_large,9811.5234375,2784.6787109375,58.6893196105957,6.554645271157381,0.3712199330329895,0.2992211580276489,0.07199877500534058
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,loss_small,24499.560668945312,1090.1229248046875,127.45226097106934,13.705894432809211,0.06725757569074631,0.009462990798056126,0.05779458489269018
p035_mixed_damage,p035,abstraction_surrealism,The Bewitched Mill,mixed_damage,17539.696044921875,2267.602783203125,92.84677505493164,9.412582723678238,0.19552931189537048,0.053449831902980804,0.14207947999238968
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,scratch_thin,19492.67042541504,222.3334808349609,116.52204895019533,19.477920001397045,0.07272163778543472,0.0008786413818597794,0.07184299640357494
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",loss_large,516.27001953125,4746.7626953125,16.115942001342773,0.4483854898919208,0.2463143765926361,0.19810885190963745,0.04820552468299866
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",loss_small,2443.492919921875,847.4501953125,29.022994995117188,5.892061913535837,0.06012517213821411,0.018700847402215004,0.04142432473599911
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",mixed_damage,3545.692626953125,1155.855224609375,31.530436515808105,6.093374202357964,0.16622602939605713,0.03885648772120476,0.12736954167485237
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",scratch_thin,1971.559955596924,38.38523483276367,27.734291791915894,17.190200128517667,0.10542716085910797,0.000719440751709044,0.10470772010739893
p037_loss_large,p037,abstraction_surrealism,In the Sea,loss_large,32042.75341796875,1451.81298828125,151.46774864196777,13.63063682744562,0.5041353106498718,0.2631968557834625,0.2409384548664093
p037_loss_small,p037,abstraction_surrealism,In the Sea,loss_small,26038.669494628903,751.0980834960938,139.9093723297119,15.522722919506588,0.16670310497283936,0.024860527366399765,0.1418425776064396
p037_mixed_damage,p037,abstraction_surrealism,In the Sea,mixed_damage,21914.903198242188,2011.8897705078125,116.96032905578612,10.752803093272128,0.2872665524482727,0.04373003542423248,0.24353651702404022
p037_scratch_thin,p037,abstraction_surrealism,In the Sea,scratch_thin,20778.46942138672,187.38409423828125,127.84413528442384,20.48779823328857,0.2702181041240692,0.00176202820148319,0.268456075922586
p038_loss_large,p038,abstraction_surrealism,Mahana no atua (Day of the God),loss_large,23633.928466796875,2684.194580078125,121.43193817138672,9.914409179780137,0.3962997496128082,0.2507379651069641,0.14556178450584412
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),loss_small,24539.811584472656,718.1473999023438,136.8244104385376,15.461846612526369,0.12287551909685135,0.02070820890367031,0.10216731019318104
p038_mixed_damage,p038,abstraction_surrealism,Mahana no atua (Day of the God),mixed_damage,23826.646484375,1703.00390625,127.00123405456544,11.75829223385609,0.26142197847366333,0.04436441883444786,0.21705755963921547
p038_scratch_thin,p038,abstraction_surrealism,Mahana no atua (Day of the God),scratch_thin,26804.832244873047,287.7009582519531,147.25380897521973,19.739083058806614,0.14642688632011414,0.002060418948531151,0.14436646737158298
p039_loss_large,p039,abstraction_surrealism,Painting with Troika,loss_large,12187.85302734375,1640.61669921875,81.91751861572266,9.257669955133016,0.44388145208358765,0.2553475797176361,0.18853387236595154
p039_loss_small,p039,abstraction_surrealism,Painting with Troika,loss_small,18083.210815429688,1035.3536376953125,108.52144813537598,12.66366565770836,0.13661716878414154,0.02194325439631939,0.11467391438782215
p039_mixed_damage,p039,abstraction_surrealism,Painting with Troika,mixed_damage,30365.941528320312,1569.1190185546875,148.0432357788086,13.086118575743908,0.26701658964157104,0.0619528591632843,0.20506373047828674
p039_scratch_thin,p039,abstraction_surrealism,Painting with Troika,scratch_thin,24640.896286010742,163.3673858642578,141.06906032562256,21.813609795884872,0.18945904076099396,0.0010588932782411575,0.1884001474827528
p040_loss_large,p040,abstraction_surrealism,Houses at Murnau,loss_large,29661.27905273437,2334.951416015625,135.3022689819336,11.36820967839638,0.4651392102241516,0.3185393512248993,0.14659985899925232
p040_loss_small,p040,abstraction_surrealism,Houses at Murnau,loss_small,28794.397033691406,850.9896850585938,144.62960815429688,15.420328240271456,0.11582774668931961,0.015055088326334953,0.10077265836298466
p040_mixed_damage,p040,abstraction_surrealism,Houses at Murnau,mixed_damage,30494.816040039062,1579.9515380859375,146.88539123535156,13.075197520233193,0.2603781819343567,0.06154068559408188,0.1988374963402748
p040_scratch_thin,p040,abstraction_surrealism,Houses at Murnau,scratch_thin,29017.90608215332,178.4923553466797,152.12086009979248,22.137096613123017,0.22280587255954742,0.0017877103528007865,0.22101816220674664
p041_loss_large,p041,high_texture_brushwork,Wheat Field with Cypresses,loss_large,18409.359619140625,1067.980224609375,109.9232692718506,12.609664308656612,0.49615395069122314,0.3905580937862396,0.10559585690498352
p041_loss_small,p041,high_texture_brushwork,Wheat Field with Cypresses,loss_small,15441.245910644531,645.3058471679688,103.07980155944824,13.966973603260632,0.21276067197322845,0.04736587032675743,0.16539480164647102
p041_mixed_damage,p041,high_texture_brushwork,Wheat Field with Cypresses,mixed_damage,24349.449584960938,1027.1597900390625,129.52932167053223,13.92795584744193,0.2936883568763733,0.07416452467441559,0.2195238322019577
p041_scratch_thin,p041,high_texture_brushwork,Wheat Field with Cypresses,scratch_thin,26119.953979492188,544.6475830078125,137.26962184906006,16.898195178979734,0.259859174489975,0.003262885380536318,0.25659628910943866
p042_loss_large,p042,high_texture_brushwork,View of Beirut,loss_large,5184.239700317383,35.87309265136719,65.61999797821045,21.62911067864953,0.44703298807144165,0.12716208398342133,0.3198709040880203
p042_loss_small,p042,high_texture_brushwork,View of Beirut,loss_small,17740.271575927734,492.5624084472656,110.9026231765747,15.68392913475433,0.18756642937660217,0.027828410267829895,0.15973801910877228
p042_mixed_damage,p042,high_texture_brushwork,View of Beirut,mixed_damage,12680.769104003906,614.9369506835938,90.65000820159912,13.34880815074018,0.33408433198928833,0.05557846277952194,0.2785058692097664
p042_scratch_thin,p042,high_texture_brushwork,View of Beirut,scratch_thin,22585.67236328125,1451.43896484375,123.31672859191896,12.190834970839129,0.19662794470787048,0.009908396750688553,0.18671954795718193
p043_loss_large,p043,high_texture_brushwork,The Card Players,loss_large,23389.06884765625,2500.93896484375,117.26217651367188,10.150290885384308,0.4886609613895416,0.3579384386539459,0.1307225227355957
p043_loss_small,p043,high_texture_brushwork,The Card Players,loss_small,26574.97540283203,578.2062377929688,144.03595733642578,16.717379522206787,0.1945955455303192,0.023318327963352203,0.171277217566967
p043_mixed_damage,p043,high_texture_brushwork,The Card Players,mixed_damage,24277.021728515625,1042.937255859375,130.72293853759766,13.85204816210005,0.28864341974258423,0.05606655031442642,0.2325768694281578
p043_scratch_thin,p043,high_texture_brushwork,The Card Players,scratch_thin,29644.194564819336,254.9011383056641,157.95008754730225,20.692862784133226,0.23601575195789337,0.0011712098494172096,0.23484454210847616
p044_loss_large,p044,high_texture_brushwork,Versailles,loss_large,15768.85922241211,475.0245666503906,107.74660110473631,15.339738033927633,0.564807116985321,0.29692283272743225,0.2678842842578888
p044_loss_small,p044,high_texture_brushwork,Versailles,loss_small,22045.582565307617,144.6596221923828,132.44476318359375,21.85814715694981,0.2918889820575714,0.027584725990891457,0.26430425606667995
p044_mixed_damage,p044,high_texture_brushwork,Versailles,mixed_damage,25095.49227905273,363.1913146972656,140.3918571472168,18.457004892729422,0.36302340030670166,0.05378778651356697,0.3092356137931347
p044_scratch_thin,p044,high_texture_brushwork,Versailles,scratch_thin,20893.765090942383,86.70170593261719,130.50173330307007,23.837875039464063,0.3671807050704956,0.0013843282358720899,0.3657963768346235
p045_loss_large,p045,high_texture_brushwork,Two Girls with Parasols,loss_large,24547.88537597656,1654.5189208984375,128.40614891052246,11.996694053486564,0.4061497151851654,0.28600090742111206,0.12014880776405334
