dataset_name,evaluation_region,mask_type,category,inference_mode,source_mask_semantics,lama_applicability,metric,row_count,valid_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,zero_improvement_count,negative_improvement_count,positive_improvement_share
damage_size,boundary_region,,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,7,7,24275.206194196428,24560.080078125,1286.808756863107,22168.32421875,25587.466796875,,,,
damage_size,outside_mask_region,,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,7,7,0.0,0.0,0.0,0.0,0.0,,,,
damage_size,mask_bbox_crop,,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,7,7,25051.360491071428,25284.478515625,2147.5887678706604,21908.22265625,27568.458984375,,,,
damage_size,full_image,,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,7,7,1554.25537109375,1297.869384765625,1129.9621374740104,303.44085693359375,3500.700927734375,,,,
damage_size,content_region,,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,7,7,2354.3748561314173,1966.0030517578125,1711.658459041149,459.6501159667969,5302.8369140625,,,,
damage_size,masked_region,,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,7,7,24631.033203125,24544.3671875,1241.5606455099914,23013.59375,26493.494140625,,,,
damage_size,boundary_region,,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,7,7,12636.27134486607,12709.1640625,1527.473007481691,9633.5,14497.3935546875,,,,
damage_size,outside_mask_region,,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,7,7,0.0,0.0,0.0,0.0,0.0,,,,
damage_size,mask_bbox_crop,,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,7,7,12165.75181361607,12249.9931640625,1282.2561230173249,10120.2548828125,13860.3955078125,,,,
damage_size,full_image,,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,7,7,1075.7852696010045,881.6157836914062,799.6243558812768,203.72515869140625,2454.765625,,,,
damage_size,content_region,,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,7,7,1561.8201991489955,1279.9259033203125,1160.890755553158,295.76727294921875,3563.81689453125,,,,
damage_size,masked_region,,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,7,7,16172.02720424107,16025.58203125,1122.1854078344234,14749.228515625,17831.025390625,,,,
damage_size,boundary_region,,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,7,7,8506.23256138393,8543.93359375,810.1533420037841,7391.943359375,9531.2890625,,,,
