case_id,painting_id,category,mask_type,overall_metric_vote,texture_winner_model
p003_mixed_damage,p003,portrait_figure,mixed_damage,lama,lama
p012_mixed_damage,p012,landscape_natural,mixed_damage,lama,lama
p033_mixed_damage,p033,abstraction_surrealism,mixed_damage,lama,lama
p023_loss_small,p023,architecture_structured,loss_small,lama,lama
p046_loss_small,p046,high_texture_brushwork,loss_small,lama,lama
p048_mixed_damage,p048,high_texture_brushwork,mixed_damage,lama,lama
p022_mixed_damage,p022,architecture_structured,mixed_damage,lama,lama
p025_loss_small,p025,architecture_structured,loss_small,lama,lama
p049_mixed_damage,p049,high_texture_brushwork,mixed_damage,lama,lama
p011_mixed_damage,p011,landscape_natural,mixed_damage,lama,lama
p044_loss_large,p044,high_texture_brushwork,loss_large,lama,lama
p002_loss_large,p002,portrait_figure,loss_large,lama,lama
p015_mixed_damage,p015,landscape_natural,mixed_damage,lama,lama
p013_loss_small,p013,landscape_natural,loss_small,lama,lama
p019_mixed_damage,p019,landscape_natural,mixed_damage,lama,lama
p043_loss_small,p043,high_texture_brushwork,loss_small,lama,lama
p014_mixed_damage,p014,landscape_natural,mixed_damage,lama,lama
p030_mixed_damage,p030,architecture_structured,mixed_damage,lama,lama
p002_mixed_damage,p002,portrait_figure,mixed_damage,lama,lama
p045_mixed_damage,p045,high_texture_brushwork,mixed_damage,lama,lama
p034_mixed_damage,p034,abstraction_surrealism,mixed_damage,lama,lama
p038_mixed_damage,p038,abstraction_surrealism,mixed_damage,lama,lama
p018_mixed_damage,p018,landscape_natural,mixed_damage,lama,lama
p020_loss_small,p020,landscape_natural,loss_small,lama,lama
p009_loss_small,p009,portrait_figure,loss_small,lama,lama
p046_mixed_damage,p046,high_texture_brushwork,mixed_damage,lama,lama
p011_loss_small,p011,landscape_natural,loss_small,lama,lama
p040_mixed_damage,p040,abstraction_surrealism,mixed_damage,lama,lama
p025_loss_large,p025,architecture_structured,loss_large,lama,lama
p023_mixed_damage,p023,architecture_structured,mixed_damage,lama,lama
p049_loss_large,p049,high_texture_brushwork,loss_large,lama,lama
p048_scratch_thin,p048,high_texture_brushwork,scratch_thin,lama,lama
p026_mixed_damage,p026,architecture_structured,mixed_damage,lama,lama
