dataset_name,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
mask_robustness,full_image,psnr_improvement,75,75,20.247584269999376,20.24959586136473,4.880430365602851,10.850082880387548,32.63268119478443
mask_robustness,content_region,psnr_improvement,75,75,20.24758430296015,20.249596831268786,4.88043044625689,10.850082352166345,32.632682351795886
mask_robustness,masked_region,psnr_improvement,75,75,20.24758433078309,20.249596572071436,4.880430283015988,10.850082159461302,32.632680842992514
mask_robustness,boundary_region,psnr_improvement,75,75,24.20964791168098,23.906137574283527,4.2258381451968186,13.320696753255659,36.33441319392843
mask_robustness,outside_mask_region,psnr_improvement,75,75,0.0,0.0,0.0,0.0,0.0
mask_robustness,mask_bbox_crop,psnr_improvement,75,75,20.247584387556532,20.249597418499835,4.8804303009185475,10.850082487811175,32.63268111230787
synthetic_degradation,full_image,psnr_improvement,50,50,-7.584931589829312,-6.382678944322935,7.146799281571698,-30.04171168545772,0.0
synthetic_degradation,content_region,psnr_improvement,50,50,-7.584931737547386,-6.38267715272651,7.146799300500488,-30.041711545170074,0.0
synthetic_degradation,masked_region,psnr_improvement,50,50,-7.5849316196089855,-6.3826782884701885,7.146799331556811,-30.0417115362351,0.0
synthetic_degradation,boundary_region,psnr_improvement,50,50,-4.695901151660753,0.0,8.450309613476302,-32.23073321375327,0.0
synthetic_degradation,outside_mask_region,psnr_improvement,50,50,0.0,0.0,0.0,0.0,0.0
