artifact_type,source_stage,artifact_id,artifact_path,filename,extension,exists,file_size_bytes,row_count,json_key_count,expected_to_exist
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0015__content_region__lpips,data/processed/masked/p003_zero_control_damaged.png,p003_zero_control_damaged.png,.png,True,648764,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0036__content_region__lpips,data/processed/masked/p004_zero_control_damaged.png,p004_zero_control_damaged.png,.png,True,709746,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0037__content_region__lpips,data/processed/masked/p004_zero_control_damaged.png,p004_zero_control_damaged.png,.png,True,709746,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0038__content_region__lpips,data/processed/masked/p004_zero_control_damaged.png,p004_zero_control_damaged.png,.png,True,709746,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0039__content_region__lpips,data/processed/masked/p004_zero_control_damaged.png,p004_zero_control_damaged.png,.png,True,709746,,,True
batch4_selected_reference__damaged_path,batch4,zero_control_largest_regression__sd24_0040__content_region__lpips,data/processed/masked/p004_zero_control_damaged.png,p004_zero_control_damaged.png,.png,True,709746,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0003__content_region__lpips,data/processed/masks/p001_mixed_damage_mask.png,p001_mixed_damage_mask.png,.png,True,7677,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0043__content_region__lpips,data/processed/masks/p005_mixed_damage_mask.png,p005_mixed_damage_mask.png,.png,True,6396,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0188__content_region__lpips,data/processed/masks/p022_mixed_damage_mask.png,p022_mixed_damage_mask.png,.png,True,8546,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0228__content_region__lpips,data/processed/masks/p026_mixed_damage_mask.png,p026_mixed_damage_mask.png,.png,True,5177,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0263__content_region__lpips,data/processed/masks/p029_mixed_damage_mask.png,p029_mixed_damage_mask.png,.png,True,7696,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0396__content_region__lpips,data/processed/masks/p044_mixed_damage_mask.png,p044_mixed_damage_mask.png,.png,True,7010,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0397__content_region__lpips,data/processed/masks/p044_mixed_damage_mask.png,p044_mixed_damage_mask.png,.png,True,7010,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__content_region__sd24_0398__content_region__lpips,data/processed/masks/p044_mixed_damage_mask.png,p044_mixed_damage_mask.png,.png,True,7010,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0003__full_image__lpips,data/processed/masks/p001_mixed_damage_mask.png,p001_mixed_damage_mask.png,.png,True,7677,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0088__full_image__lpips,data/processed/masks/p010_mixed_damage_mask.png,p010_mixed_damage_mask.png,.png,True,7702,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0089__full_image__lpips,data/processed/masks/p010_scratch_thin_mask.png,p010_scratch_thin_mask.png,.png,True,7544,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0188__full_image__lpips,data/processed/masks/p022_mixed_damage_mask.png,p022_mixed_damage_mask.png,.png,True,8546,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0228__full_image__lpips,data/processed/masks/p026_mixed_damage_mask.png,p026_mixed_damage_mask.png,.png,True,5177,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0263__full_image__lpips,data/processed/masks/p029_mixed_damage_mask.png,p029_mixed_damage_mask.png,.png,True,7696,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0396__full_image__lpips,data/processed/masks/p044_mixed_damage_mask.png,p044_mixed_damage_mask.png,.png,True,7010,,,True
batch4_selected_reference__mask_path,batch4,strongest_improvement__full_image__sd24_0421__full_image__lpips,data/processed/masks/p047_mixed_damage_mask.png,p047_mixed_damage_mask.png,.png,True,8582,,,True
